2020-10-02,68,2499
2020-10-03,69,2843
2020-10-04,64,2578
2020-10-05,65,2257
2020-10-06,63,2677
2020-10-07,65,3677
2020-10-08,62,4458
2020-10-09,61,5372
2020-10-10,63,5724
2020-10-11,61,5456
2020-10-12,56,4619
2020-10-13,56,5898
2020-10-14,62,7332
2020-10-15,60,8803
2020-10-16,56,10009
2020-10-17,57,10925
2020-10-18,56,11705
2020-10-19,57,9337
2020-10-20,57,10871
2020-10-21,58,15199
2020-10-22,60,16078
2020-10-23,63,19143
2020-10-24,63,19640
2020-10-25,58,21273
2020-10-26,63,17007
2020-10-27,60,21989
2020-10-28,55,24988
2020-10-29,56,26829
2020-10-30,57,31079
2020-10-31,58,31756
2020-11-01,59,29905
2020-11-02,59,22253
2020-11-03,57,28241
2020-11-04,60,30548
2020-11-05,60,34502
2020-11-06,60,37802
2020-11-07,57,39809
2020-11-08,56,32614
2020-11-09,56,25269
2020-11-10,56,35090
2020-11-11,56,32961
2020-11-12,58,37977
2020-11-13,58,40902
2020-11-14,60,37249
2020-11-15,60,33977
2020-11-16,62,27352
2020-11-17,57,32191
2020-11-18,57,34280
2020-11-19,55,36176
2020-11-20,57,37239
2020-11-21,53,34764
2020-11-22,48,28337
2020-11-23,48,22927
2020-11-24,49,23227
2020-11-25,50,25852
2020-11-26,50,29001
2020-11-27,53,28342
2020-11-28,57,26315
2020-11-29,53,20646
2020-11-30,51,16376
2020-12-01,50,19347
2020-12-02,50,20709
2020-12-03,47,23219
2020-12-04,51,24110
2020-12-05,60,21052
2020-12-06,50,18887
2020-12-07,52,13679
2020-12-08,53,14837
2020-12-09,49,12755
2020-12-10,48,16998
2020-12-11,47,18726
2020-12-12,46,19902
2020-12-13,45,17937
2020-12-14,46,12025
2020-12-15,44,14839
2020-12-16,47,17568
2020-12-17,47,18233
2020-12-18,47,15401
2020-12-19,46,16305
2020-12-20,47,15102
2020-12-21,47,10869
2020-12-22,49,13316
2020-12-23,52,13908
2020-12-24,57,18039
2020-12-25,53,19037
2020-12-26,44,10405
2020-12-27,42,8937
2020-12-28,51,8581
2020-12-29,52,11210
2020-12-30,48,16202
2020-12-31,44,23477
2021-01-01,48,22210
2021-01-02,50,11825
2021-01-03,44,14245
2021-01-04,45,10798
2021-01-05,46,15375
2021-01-06,46,20326
2021-01-07,42,18416
2021-01-08,42,17529
2021-01-09,43,19976
2021-01-10,44,18625
2021-01-11,40,12530
2021-01-12,41,14242
2021-01-13,42,15773
2021-01-14,48,17243
2021-01-15,46,16144
2021-01-16,40,16310
2021-01-17,36,12544
2021-01-18,40,8825
2021-01-19,43,10496
2021-01-20,50,13568
2021-01-21,56,14055
2021-01-22,55,13633
2021-01-23,52,13331
2021-01-24,49,11628
2021-01-25,47,8559
2021-01-26,42,10584
2021-01-27,40,15191
2021-01-28,43,14360
2021-01-29,52,13563
2021-01-30,53,12713
2021-01-31,52,11249
2021-02-01,50,7925
2021-02-02,53,9651
2021-02-03,54,13182
2021-02-04,55,13656
2021-02-05,54,14213
2021-02-06,60,13439
2021-02-07,60,11640
2021-02-08,52,7969
2021-02-09,55,10612
2021-02-10,55,12947
2021-02-13,40,13523
2021-02-14,36,11060
2021-02-15,38,7344
2021-02-16,40,10368
2021-02-17,48,12066
2021-02-18,49,13755
2021-02-19,46,15470
2021-02-21,52,13450
2021-02-22,52,9617
2021-02-23,52,13299
2021-02-24,53,16402
2021-02-25,53,19871
2021-02-26,52,20488
2021-02-27,51,18902
2021-02-28,52,17440
2021-03-01,50,13106
2021-03-02,51,17063
2021-03-03,50,20840
2021-03-04,50,22845
2021-03-05,51,24010
2021-03-06,53,23633
2021-03-07,50,20724
2021-03-08,51,13882
2021-03-09,50,19725
2021-03-10,49,22275
2021-03-11,49,25649
2021-03-12,55,26790
2021-03-13,56,26031
2021-03-14,53,21304
2021-03-15,48,15252
2021-03-16,46,20376
2021-03-17,44,23040
2021-03-18,45,24901
2021-03-19,44,25707
2021-03-20,47,23913
2021-03-21,47,20045
2021-03-22,47,24501
2021-03-23,47,18739
2021-03-24,48,21246
2021-03-25,49,23681
2021-03-26,53,24076
2021-03-27,54,23834
2021-03-28,55,19604
2021-03-29,55,12900
2021-03-30,58,16055
2021-03-31,60,23887
2021-04-01,58,22184
2021-04-02,58,21917
2021-04-03,57,21247
2021-04-04,57,18017
2021-04-05,52,10680
2021-04-06,54,7763
2021-04-07,46,13686
2021-04-08,46,17209
2021-04-09,49,18924
2021-04-10,54,17551
2021-04-11,57,15737
2021-04-12,54,9780
2021-04-13,52,13439
2021-04-14,50,16160
2021-04-15,52,16963
2021-04-16,52,15923
2021-04-17,53,15364
2021-04-18,49,12688
2021-04-19,48,8863
2021-04-20,52,12069
2021-04-21,54,13836
2021-04-22,55,16046
2021-04-23,57,14758
2021-04-24,59,13814
2021-04-25,59,13157
2021-04-26,60,8440
2021-04-27,62,10398
2021-04-28,61,13382
2021-04-29,60,14314
2021-04-30,65,13445
2021-05-01,64,12964
2021-05-02,59,9145
2021-05-03,59,5946
2021-05-04,56,9113
2021-05-05,59,10579
2021-05-06,63,11798
2021-05-07,64,10549
2021-05-08,65,10174
2021-05-09,66,8289
2021-05-10,69,5077
2021-05-11,64,6943
2021-05-12,61,7848
2021-05-13,61,8082
2021-05-14,58,7562
2021-05-15,59,6652
2021-05-16,63,5748
2021-05-17,64,3454
2021-05-18,61,4449
2021-05-19,62,5500
2021-05-20,62,5736
2021-05-21,63,5215
2021-05-22,67,4714
2021-05-23,67,3993
2021-05-24,70,2489
2021-05-25,65,3220
2021-05-26,65,3935
2021-05-27,65,4143
2021-05-28,67,3737
2021-05-29,69,3348
2021-05-30,67,2948
2021-05-31,66,1818
2021-06-01,67,2483
2021-06-02,69,2896
2021-06-03,72,1963
2021-06-04,74,2556
2021-06-05,71,2434
2021-06-06,69,2275
2021-06-07,68,1270
2021-06-08,67,1894
2021-06-09,68,2198
2021-06-10,71,2078
2021-06-11,71,1892
2021-06-12,73,1722
2021-06-13,76,1390
2021-06-14,75,907
2021-06-15,74,1253
2021-06-16,73,1400
2021-06-17,75,1323
2021-06-18,76,1147
2021-06-19,77,1193
2021-06-20,79,881
2021-06-21,81,484
2021-06-22,81,834
2021-06-23,80,1140
2021-06-24,78,266
2021-06-25,77,751
2021-06-26,77,838
2021-06-27,80,780
2021-06-28,82,387
2021-06-29,80,677
2021-06-30,78,776
2021-07-01,77,879
2021-07-02,77,794
2021-07-03,78,929
2021-07-04,79,806
2021-07-05,78,480
2021-07-06,81,907
2021-07-07,82,1010
2021-07-08,80,1391
2021-07-09,80,1386
2021-07-10,78,1394
2021-07-11,78,1391
2021-07-12,78,887
2021-07-13,79,1530
2021-07-14,73,2153
2021-07-15,72,2473
2021-07-16,73,2895
2021-07-17,72,3118
2021-07-18,76,3126
2021-07-19,77,2070
2021-07-20,78,3555
2021-07-21,81,4254
2021-07-22,82,5056
2021-07-23,82,5142
2021-07-24,81,5138
2021-07-25,83,4742
2021-07-26,87,3115
2021-07-27,84,4516
2021-07-28,83,5693
2021-07-29,83,6167
2021-07-30,83,6613
2021-07-31,84,6509
2021-08-01,84,5320
2021-08-02,76,3185
2021-08-03,77,4841
2021-08-04,80,6590
2021-08-05,77,7224
2021-08-06,78,6599
2021-08-07,81,6897
2021-08-08,83,5733
2021-08-09,80,4200
2021-08-10,84,5624
2021-08-11,86,6921
2021-08-12,86,7267
2021-08-13,87,7398
2021-08-14,87,7181
2021-08-15,87,5661
2021-08-16,83,3669
2021-08-17,80,5268
2021-08-18,79,7159
2021-08-19,78,7240
2021-08-20,80,7220
2021-08-21,79,7466
2021-08-22,81,5922
2021-08-23,79,4166
2021-08-24,75,6078
2021-08-25,75,7539
2021-08-26,77,7215
2021-08-27,76,7823
2021-08-28,75,6858
2021-08-29,71,5954
2021-08-30,72,4253
2021-08-31,73,5492
2021-09-01,74,6496
2021-09-02,75,6754
2021-09-03,75,6729
2021-09-04,76,6156
2021-09-05,75,5314
2021-09-06,74,3347
2021-09-07,75,4715
